Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,23.5,,,,,64.42,110.95
,23.39,,,,,,
,23.08,,,,,,
,22.7,,,,,,
,22.28,,,,,,
,21.84,,,,,,
,21.36,,,,,,
,20.86,,,,,,
,20.36,,,,,,
,19.83,,,,,,
,19.34,,,,,,
,18.84,,,,,,
,18.37,,,,,,
,17.87,,,,,,
,17.38,,,,,,
,16.95,,,,,,
,16.43,,,,,,
,15.98,,,,,,
,15.52,,,,,,
,14.96,,,,,,
,14.39,,,,,,
,13.9,2,13.93,,,,
,13.53,,,,,,
,13.07,,,,,,
,12.65,,,,,,
,12.14,,,,,,
,11.65,,,,,,
,11.12,,,,,,
,10.63,,,,,,
,10.2,,,,,,
,9.66,1,9.66,,,,
,9.12,,,,,,
,8.57,,,,,,
,8.09,,,,,,
,7.56,,,,,,
,7.09,,,,,,
,6.59,1,6.58,,,,
,6.08,,,,,,
,5.56,,,,,,
,5.03,,,,,,
,4.53,,,,,,
,4.05,,,,,,
,3.57,,,,,,
,3.06,,,,,,
,2.55,1,2.55,,,,
,2.12,,,,,,
,1.6,,,,,,
,1.13,,,,,,
,0.65,,,,,,
,0.07,,,,,,
,-0.4,,,,24.76,,
,24.17,1,24.12,,,,
,23.73,,,,,,
,23.24,,,,,,
,22.77,,,,,,
,22.27,,,,,,
,21.73,,,,,,
,21.28,,,,,,
,20.77,,,,,,
,20.31,,,,,,
,19.84,1,19.78,,,,
,19.35,,,,,,
,18.78,,,,,,
,18.32,,,,,,
,17.8,,,,,,
,17.33,,,,,,
,16.79,,,,,,
,16.33,1,16.32,,,,
,15.87,,,,,,
,15.35,,,,,,
,14.91,,,,,,
,14.43,,,,,,
,13.95,,,,,,
,13.44,,,,,,
,12.95,,,,,,
,12.49,,,,,,
,12.06,,,,,,
,11.6,,,,,,
,11.1,,,,,,
,10.62,,,,,,
,10.15,,,,,,
,9.69,,,,,,
,9.25,,,,,,
,8.81,,,,,,
,8.45,1,8.43,,,,
,7.96,,,,,,
,7.53,,,,,,
,7.12,,,,,,
,6.7,,,,,,
,6.27,,,,,,
,5.81,,,,,,
,5.41,,,,,,
,5,,,,,,
,4.65,,,,,,
,4.23,,,,,,
,3.87,,,,,,
,3.48,,,,,,
,3.12,,,,,,
,2.64,,,,,,
,2.35,,,,,,
,2.13,,,,,,
,2.01,,,,,,
,1.92,,,,,,
,1.88,,,,,,
,1.86,,,,,,
,1.86,,,,,,
,1.91,,,,,,
,1.91,,,,,,
