Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-21.6,23.62,,,,,64.1,105.59,
-21.29,23.58,,,,,,,
-21,23.52,,,,,,,
-20.68,23.52,,,,,,,
-20.37,23.38,,,,,,,
-20.05,23.15,,,,,,,
-19.75,22.83,,,,,,,
-19.43,22.47,,,,,,,
-19.08,22.14,,,,,,,
-18.68,21.65,,,,,,,
-18.37,21.42,,,,,,,
-18.05,21.1,,,,,,,
-17.74,20.73,,,,,,,
-17.43,20.42,,,,,,,
-17.08,20.09,,,,,,,
-16.72,19.69,,,,,,,
-16.36,19.31,,,,,,,
-16.04,19,,,,,,,
-15.73,18.65,,,,,,,
-15.41,18.34,,,,,,,
-15.06,17.98,2,18,,,,,
-14.71,17.72,,,,,,,
-14.36,17.33,,,,,,,
-14.02,17.01,,,,,,,
-13.72,16.69,,,,,,,
-13.42,16.43,,,,,,,
-13.06,16.05,,,,,,,
-12.69,15.66,,,,,,,
-12.34,15.26,,,,,,,
-12.01,14.88,,,,,,,
-11.7,14.6,,,,,,,
-11.4,14.29,,,,,,,
-11.06,13.92,2,13.96,,,,,
-10.69,13.64,,,,,,,
-10.34,13.3,,,,,,,
-10.01,12.94,,,,,,,
-9.71,12.62,,,,,,,
-9.39,12.28,,,,,,,
-9.03,11.9,,,,,,,
-8.68,11.53,,,,,,,
-8.32,11.13,,,,,,,
-8,10.76,,,,,,,
-7.69,10.45,,,,,,,
-7.38,10.14,,,,,,,
-7.02,9.74,2,9.82,,,,,
-6.66,9.43,,,,,,,
-6.32,9.07,,,,,,,
-5.99,8.72,,,,,,,
-5.68,8.36,,,,,,,
-5.37,8.02,,,,,,,
-5.02,7.63,,,,,,,
-4.67,7.24,,,,,,,
-4.3,6.84,,,,,,,
-3.97,6.5,,,,,,,
-3.67,6.18,,,,,,,
-3.37,5.82,,,,,,,
-3.01,5.45,1,5.46,,,,,
-2.65,5.08,,,,,,,
-2.31,4.7,,,,,,,
-1.99,4.32,,,,,,,
-1.67,4.01,,,,,,,
-1.35,3.66,,,,,,,
-1,3.31,,,,,,,
-0.67,2.92,,,-23.15,25.36,,,
-22.82,25.15,,,,,,,
-22.46,24.75,,,,,,,
-22.16,24.43,1,24.43,,,,,
-21.84,24.1,,,,,,,
-21.49,23.69,,,,,,,
-21.14,23.33,,,,,,,
-20.8,22.97,,,,,,,
-20.46,22.6,,,,,,,
-20.15,22.25,,,,,,,
-19.84,21.92,,,,,,,
-19.49,21.56,,,,,,,
-19.14,21.15,,,,,,,
-18.78,20.76,,,,,,,
-18.45,20.42,,,,,,,
-18.15,20.1,1,20.11,,,,,
-17.83,19.75,,,,,,,
-17.47,19.37,,,,,,,
-17.13,19.02,,,,,,,
-16.79,18.65,,,,,,,
-16.46,18.33,,,,,,,
-16.13,17.98,,,,,,,
-15.83,17.64,,,,,,,
-15.48,17.25,,,,,,,
-15.12,16.89,,,,,,,
-14.79,16.53,,,,,,,
-14.45,16.19,,,,,,,
-14.13,15.83,1,15.82,,,,,
-13.82,15.5,,,,,,,
-13.48,15.15,,,,,,,
-13.12,14.77,,,,,,,
-12.79,14.39,,,,,,,
-12.45,14.04,,,,,,,
-12.14,13.73,,,,,,,
-11.82,13.38,,,,,,,
-11.47,13.01,,,,,,,
-11.12,12.67,,,,,,,
-10.78,12.31,,,,,,,
-10.45,11.97,,,,,,,
-10.11,11.61,1,11.59,,,,,
-9.79,11.27,,,,,,,
-9.47,10.92,,,,,,,
-9.12,10.57,,,,,,,
-8.79,10.23,,,,,,,
-8.47,9.9,,,,,,,
-8.14,9.54,,,,,,,
-7.8,9.2,,,,,,,
-7.45,8.83,,,,,,,
-7.14,8.52,,,,,,,
-6.81,8.17,,,,,,,
-6.47,7.82,,,,,,,
-6.13,7.45,1,7.44,,,,,
-5.79,7.13,,,,,,,
-5.47,6.83,,,,,,,
-5.14,6.52,,,,,,,
-4.81,6.17,,,,,,,
-4.49,5.83,,,,,,,
-4.14,5.51,,,,,,,
-3.8,5.19,,,,,,,
-3.47,4.92,,,,,,,
-3.16,4.65,,,,,,,
-2.81,4.43,,,,,,,
-2.51,4.31,,,,,,,
-2.19,4.31,,,,,,,
-2.06,4.34,,,,,,,
-1.92,4.35,,,,,,,
-1.74,4.36,,,,,,,
-1.54,4.39,,,,,,,
