Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0,,,,,63.06,108.91
,0.02,,,,,,
,0.02,,,,,,
,0.04,,,,,,
,0.11,,,,,,
,0.34,,,,,,
,0.57,,,,,,
,0.86,,,,,,
,1.13,,,,,,
,1.42,,,,,,
,1.72,,,,,,
,2.02,,,,,,
,2.36,,,,,,
,2.57,,,,,,
,2.84,,,,,,
,3.15,,,,,,
,3.44,,,,,,
,3.72,,,,,,
,3.99,,,,,,
,4.32,,,,,,
,4.66,,,,,,
,5,,,,,,
,5.31,,,,,,
,5.58,,,,,,
,5.95,,,,,,
,6.31,,,,,,
,6.56,,,,,,
,6.88,,,,,,
,7.22,,,,,,
,7.5,,,,,,
,7.86,,,,,,
,8.24,1,8.26,,,,
,8.57,,,,,,
,8.91,,,,,,
,9.26,,,,,,
,9.58,,,,,,
,9.98,,,,,,
,10.26,,,,,,
,10.61,,,,,,
,10.95,,,,,,
,11.36,,,,,,
,11.69,,,,,,
,12.01,,,,,,
,12.37,1,12.42,,,,
,12.74,,,,,,
,13.08,,,,,,
,13.46,,,,,,
,13.84,,,,,,
,14.17,,,,,,
,14.55,,,,,,
,14.92,,,,,,
,15.31,,,,,,
,15.68,,,,,,
,16.04,,,,,,
,16.36,1,16.41,,,,
,16.72,,,,,,
,17.11,,,,,,
,17.49,,,,,,
,17.9,,,,,,
,18.24,,,,,,
,18.56,,,,,,
,18.95,,,,,,
,19.29,,,,,,
,19.69,,,,,,
,20.06,1,20.11,,,,
,20.43,,,,,,
,20.8,,,,,,
,21.16,,,,,,
,21.53,,,,,,
,21.91,,,,,,
,22.28,,,,,,
,22.65,,,,,,
,22.99,,,,,,
,23.38,,,,,,
,23.76,1,23.78,,,,
,24.18,,,,,,
,24.5,,,,,,
,24.86,,,,,,
,25.19,,,,0.62,,
,1.03,,,,,,
,1.47,,,,,,
,1.83,,,,,,
,2.25,,,,,,
,2.68,,,,,,
,2.97,1,3,,,,
,3.36,,,,,,
,3.7,,,,,,
,4.11,,,,,,
,4.44,,,,,,
,4.79,,,,,,
,5.15,,,,,,
,5.5,,,,,,
,5.84,,,,,,
,6.25,,,,,,
,6.6,2,6.59,,,,
,6.85,,,,,,
,7.24,,,,,,
,7.59,,,,,,
,7.95,,,,,,
,8.35,,,,,,
,8.72,,,,,,
,9.02,,,,,,
,9.4,,,,,,
,9.7,,,,,,
,10.09,,,,,,
,10.54,2,10.48,,,,
,10.75,,,,,,
,11.09,,,,,,
,11.4,,,,,,
,11.74,,,,,,
,12.12,,,,,,
,12.52,,,,,,
,12.91,,,,,,
,13.14,,,,,,
,13.58,,,,,,
,13.89,,,,,,
,14.3,2,14.22,,,,
,14.47,,,,,,
,14.93,,,,,,
,15.26,,,,,,
,15.51,,,,,,
,15.92,,,,,,
,16.31,,,,,,
,16.67,,,,,,
,17.1,,,,,,
,17.41,,,,,,
,17.73,,,,,,
,18.16,,,,,,
,18.46,3,18.43,,,,
,18.59,,,,,,
,18.96,,,,,,
,19.23,,,,,,
,19.54,,,,,,
,19.85,,,,,,
,20.23,,,,,,
,20.45,,,,,,
,20.72,,,,,,
,20.88,,,,,,
,21.09,,,,,,
,21.21,,,,,,
,21.37,,,,,,
,21.54,,,,,,
,21.63,,,,,,
,21.73,,,,,,
,21.78,,,,,,
,21.82,,,,,,
