Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Note,Exclude Cable Pull Greater Than (mm)
,19.8,,,,,64.07,109.42,Reached the end of the indicator range at the end,28.5
,19.76,,,,,,,,
,19.7,,,,,,,,
,19.67,,,,,,,,
,19.61,,,,,,,,
,19.55,,,,,,,,
,19.47,,,,,,,,
,19.2,,,,,,,,
,18.91,,,,,,,,
,18.46,,,,,,,,
,17.83,,,,,,,,
,17.14,,,,,,,,
,16.51,,,,,,,,
,16.04,,,,,,,,
,15.72,,,,,,,,
,15.35,,,,,,,,
,14.91,,,,,,,,
,14.37,,,,,,,,
,13.93,,,,,,,,
,13.46,,,,,,,,
,13.01,,,,,,,,
,12.53,,,,,,,,
,12.03,,,,,,,,
,11.54,,,,,,,,
,11.07,,,,,,,,
,10.61,,,,,,,,
,10.17,,,,,,,,
,9.7,2,9.67,,,,,,
,9.19,,,,,,,,
,8.68,,,,,,,,
,8.23,,,,,,,,
,7.72,,,,,,,,
,7.29,,,,,,,,
,6.85,,,,,,,,
,6.29,,,,,,,,
,5.82,2,5.78,,,,,,
,5.34,,,,,,,,
,4.85,,,,,,,,
,4.41,,,,,,,,
,3.93,,,,,,,,
,3.48,,,,,,,,
,2.96,,,,,,,,
,2.5,,,,,,,,
,1.98,,,,,,,,
,1.52,2,1.48,,,,,,
,1.02,,,,,,,,
,0.5,,,,,,,,
,0.02,,,,24.67,,,,
,24.16,,,,,,,,
,23.68,,,,,,,,
,23.23,,,,,,,,
,22.7,,,,,,,,
,22.11,1,22.08,,,,,,
,21.66,,,,,,,,
,21.13,,,,,,,,
,20.66,,,,,,,,
,20.17,,,,,,,,
,19.65,,,,,,,,
,19.11,,,,,,,,
,18.65,,,,,,,,
,18.12,1,18.03,,,,,,
,17.55,,,,,,,,
,17.13,,,,,,,,
,16.58,,,,,,,,
,16.09,,,,,,,,
,15.6,,,,,,,,
,15.11,,,,,,,,
,14.56,1,14.49,,,,,,
,14.07,,,,,,,,
,13.56,,,,,,,,
,13.05,,,,,,,,
,12.57,,,,,,,,
,12.14,,,,,,,,
,11.63,,,,,,,,
,11.13,,,,,,,,
,10.63,1,10.57,,,,,,
,10.11,,,,,,,,
,9.63,,,,,,,,
,9.2,,,,,,,,
,8.78,,,,,,,,
,8.27,,,,,,,,
,7.82,,,,,,,,
,7.34,,,,,,,,
,6.89,,,,,,,,
,6.45,1,6.38,,,,,,
,6.01,,,,,,,,
,5.59,,,,,,,,
,5.14,,,,,,,,
,4.67,,,,,,,,
,4.21,,,,,,,,
,3.86,,,,,,,,
,3.47,,,,,,,,
,3.05,1,2.91,,,,,,
,2.46,,,,,,,,
,2.03,,,,,,,,
,1.65,,,,,,,,
,1.28,,,,,,,,
,0.85,,,,,,,,
,0.5,,,,,,,,
,0.09,,,,,,,,
,-0.23,,,,,,,,
,-0.37,,,,,,,,
,-0.47,,,,,,,,
,-0.55,,,,,,,,
,-0.84,,,,,,,,
,-0.82,,,,,,,,
,-1.05,,,,,,,,
,-1.07,,,,,,,,
,-1.07,,,,,,,,
