Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
,0,,,,,63.94,109.38,29
,0.03,,,,,,,
,0.06,,,,,,,
,0.2,,,,,,,
,0.28,,,,,,,
,0.46,,,,,,,
,0.66,,,,,,,
,0.82,,,,,,,
,1.03,,,,,,,
,1.31,,,,,,,
,1.66,,,,,,,
,2.03,,,,,,,
,2.41,,,,,,,
,2.75,,,,,,,
,3.14,,,,,,,
,3.53,,,,,,,
,3.94,,,,,,,
,4.31,,,,,,,
,4.72,,,,,,,
,5.15,,,,,,,
,5.57,,,,,,,
,5.99,,,,,,,
,6.44,,,,,,,
,6.8,,,,,,,
,7.23,,,,,,,
,7.63,,,,,,,
,8.11,1,8.22,,,,,
,8.62,,,,,,,
,9.06,,,,,,,
,9.54,,,,,,,
,9.93,,,,,,,
,10.37,,,,,,,
,10.81,,,,,,,
,11.19,,,,,,,
,11.73,,,,,,,
,12.27,1,12.37,,,,,
,12.82,,,,,,,
,13.22,,,,,,,
,13.72,,,,,,,
,14.2,,,,,,,
,14.75,,,,,,,
,15.17,,,,,,,
,15.64,,,,,,,
,16.07,1,16.13,,,,,
,16.49,,,,,,,
,17.13,,,,,,,
,17.64,,,,,,,
,18.16,,,,,,,
,18.64,,,,,,,
,19.1,,,,,,,
,19.56,,,,,,,
,20.11,1,20.14,,,,,
,20.6,,,,,,,
,21.13,,,,,,,
,21.66,,,,,,,
,22.14,,,,,,,
,22.54,,,,,,,
,23.1,,,,,,,
,23.7,,,,,,,
,24.11,1,24.19,,,,,
,24.62,,,,0.7,,,
,1.33,,,,,,,
,1.74,,,,,,,
,2.3,,,,,,,
,2.82,,,,,,,
,3.3,,,,,,,
,3.79,,,,,,,
,4.22,1,4.25,,,,,
,4.68,,,,,,,
,5.23,,,,,,,
,5.8,,,,,,,
,6.28,,,,,,,
,6.7,,,,,,,
,7.28,,,,,,,
,7.69,,,,,,,
,8.14,1,8.17,,,,,
,8.69,,,,,,,
,9.22,,,,,,,
,9.67,,,,,,,
,10.07,,,,,,,
,10.51,,,,,,,
,11.06,,,,,,,
,11.63,,,,,,,
,12.08,2,12.14,,,,,
,12.55,,,,,,,
,13.17,,,,,,,
,13.56,,,,,,,
,13.92,,,,,,,
,14.47,,,,,,,
,14.99,,,,,,,
,15.34,,,,,,,
,15.86,2,15.86,,,,,
,16.29,,,,,,,
,16.91,,,,,,,
,17.12,,,,,,,
,17.33,,,,,,,
,17.58,,,,,,,
,17.99,,,,,,,
,18.36,,,,,,,
,18.66,,,,,,,
,19.04,,,,,,,
,19.58,,,,,,,
,20.13,,,,,,,
,20.68,,,,,,,
,21.22,,,,,,,
,21.52,,,,,,,
,21.57,,,,,,,
,21.62,,,,,,,
,21.69,,,,,,,
,21.71,,,,,,,
