Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,22.18,,,,,65.06,111.37,,
,22.15,,,,,,,,
,22.12,,,,,,,,
,21.97,,,,,,,,
,21.73,,,,,,,,
,21.36,,,,,,,,
,20.98,,,,,,,,
,20.52,,,,,,,,
,20.13,,,,,,,,
,19.67,,,,,,,,
,19.23,,,,,,,,
,18.73,,,,,,,,
,18.06,,,,,,,,
,17.54,,,,,,,,
,17.01,,,,,,,,
,16.48,,,,,,,,
,16.01,,,,,,,,
,15.52,,,,,,,,
,14.93,,,,,,,,
,14.43,,,,,,,,
,13.89,,,,,,,,
,13.41,,,,,,,,
,12.92,,,,,,,,
,12.41,,,,,,,,
,11.91,2,11.89,,,,,,
,11.41,,,,,,,,
,10.94,,,,,,,,
,10.42,,,,,,,,
,9.91,,,,,,,,
,9.46,,,,,,,,
,8.91,,,,,,,,
,8.39,,,,,,,,
,7.86,1,7.81,,,,,,
,7.33,,,,,,,,
,6.84,,,,,,,,
,6.3,,,,,,,,
,5.73,,,,,,,,
,5.2,,,,,,,,
,4.75,,,,,,,,
,4.22,1,4.12,,,,,,
,3.68,,,,,,,,
,3.16,,,,,,,,
,2.62,,,,,,,,
,2.05,,,,,,,,
,1.56,,,,,,,,
,1.05,,,,,,,,
,0.55,1,0.5,,,,,,
,0.04,,,,25.25,,,,
,24.67,,,,,,,,
,24.11,,,,,,,,
,23.64,,,,,,,,
,23.08,,,,,,,,
,22.6,,,,,,,,
,22.08,1,21.97,,,,,,
,21.47,,,,,,,,
,21,,,,,,,,
,20.51,,,,,,,,
,19.98,,,,,,,,
,19.44,,,,,,,,
,18.91,,,,,,,,
,18.38,1,18.35,,,,,,
,17.89,,,,,,,,
,17.33,,,,,,,,
,16.88,,,,,,,,
,16.39,,,,,,,,
,15.93,,,,,,,,
,15.42,,,,,,,,
,14.87,1,14.83,,,,,,
,14.41,,,,,,,,
,13.9,,,,,,,,
,13.41,,,,,,,,
,12.92,,,,,,,,
,12.44,,,,,,,,
,11.98,,,,,,,,
,11.55,,,,,,,,
,11.05,,,,,,,,
,10.6,1,10.57,,,,,,
,10.12,,,,,,,,
,9.65,,,,,,,,
,9.23,,,,,,,,
,8.81,,,,,,,,
,8.34,,,,,,,,
,7.92,,,,,,,,
,7.51,,,,,,,,
,7.06,,,,,,,,
,6.7,1,6.65,,,,,,
,6.31,,,,,,,,
,5.89,,,,,,,,
,5.47,,,,,,,,
,5.07,,,,,,,,
,4.63,,,,,,,,
,4.29,,,,,,,,
,3.96,1,3.9,,,,,,
,3.49,,,,,,,,
,3.17,,,,,,,,
,2.83,,,,,,,,
,2.49,,,,,,,,
,2.15,,,,,,,,
,1.87,,,,,,,,
,1.58,,,,,,,,
,1.23,,,,,,,,
,0.92,,,,,,,,
,0.71,,,,,,,,
,0.6,,,,,,,,
,0.53,,,,,,,,
,0.47,,,,,,,,
