Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0,,,,,67.23,103.98,,
,0,,,,,,,,
,0,,,,,,,,
,-0.04,,,,,,,,
,-0.07,,,,,,,,
,-0.06,,,,,,,,
,-0.04,,,,,,,,
,0.08,,,,,,,,
,0.33,,,,,,,,
,0.68,,,,,,,,
,1.09,,,,,,,,
,1.53,,,,,,,,
,2.01,,,,,,,,
,2.66,,,,,,,,
,3.25,,,,,,,,
,3.83,,,,,,,,
,4.5,,,,,,,,
,5.07,,,,,,,,
,5.51,,,,,,,,
,6.1,,,,,,,,
,6.72,,,,,,,,
,7.35,,,,,,,,
,7.94,,,,,,,,
,8.45,1,8.52,,,,,,
,9.08,,,,,,,,
,9.67,,,,,,,,
,10.29,,,,,,,,
,10.97,,,,,,,,
,11.48,,,,,,,,
,11.96,,,,,,,,
,12.62,,,,,,,,
,13.11,,,,,,,,
,13.81,,,,,,,,
,14.42,,,,,,,,
,15.05,,,,,,,,
,15.52,,,,,,,,
,16.07,,,,,,,,
,16.63,1,16.73,,,,,,
,17.22,,,,,,,,
,17.86,,,,,,,,
,18.53,,,,,,,,
,19.01,,,,,,,,
,19.54,,,,,,,,
,20.06,,,,,,,,
,20.74,1,20.88,,,,,,
,21.42,,,,,,,,
,21.9,,,,,,,,
,22.41,,,,,,,,
,22.89,,,,0.65,,,,
,1.19,,,,,,,,
,1.91,1,2,,,,,,
,2.53,,,,,,,,
,3.04,,,,,,,,
,3.48,,,,,,,,
,3.98,,,,,,,,
,4.47,,,,,,,,
,5.13,,,,,,,,
,5.68,,,,,,,,
,6.19,1,6.27,,,,,,
,6.59,,,,,,,,
,7.08,,,,,,,,
,7.47,,,,,,,,
,8.04,,,,,,,,
,8.62,,,,,,,,
,9.07,,,,,,,,
,9.49,,,,,,,,
,9.91,,,,,,,,
,10.29,1,10.42,,,,,,
,10.8,,,,,,,,
,11.31,,,,,,,,
,11.83,,,,,,,,
,12.19,,,,,,,,
,12.63,,,,,,,,
,13,,,,,,,,
,13.44,,,,,,,,
,13.92,2,13.94,,,,,,
,14.08,,,,,,,,
,14.29,,,,,,,,
,14.49,,,,,,,,
,14.55,,,,,,,,
,14.59,,,,,,,,
,14.63,,,,,,,,
