Set,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025
9 (least pull),,24.62,,24.6,,24.62,,24.64,,24.57
8,21.24,21.92,21.09,21.91,20.9,21.93,20.88,21.94,21.14,21.83
7,18.21,19.09,18.19,19.08,18.27,19.1,17.49,19.11,18.31,19.11
6,15.43,16.27,15.56,16.27,15.39,16.28,14.86,16.3,15.45,16.7
5,12.59,13.43,12.72,13.41,12.6,13.45,13.06,13.46,12.74,13.45
4,10.06,10.39,9.87,10.42,10.11,10.45,10.09,10.44,10.11,10.43
3,7.08,7.36,7.09,7.41,7.08,7.42,7.07,7.4,7.1,7.39
2,3.83,4.06,3.85,4.08,3.84,4.07,3.84,4.11,3.85,4.17
1 (most pull),0,,0,,0,,0,,0,
