Set,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling
Date,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/5/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024,4/11/2024
1 (most pull),,,,,,,,0,,-0.02,,-0.01,,,,,,,,,,,,,,,,,-0.13,,-0.07,,-0.21,,-0.23,,-0.23,,-0.21
2,,,,,,,3.35,3.26,3.29,3.26,3.29,3.27,,,,,,,,,,,,,,,,3.35,3.08,3.34,3.09,3.34,3.08,3.33,3.08,3.33,3.08,3.34,3.12
3,-23.71,,-23.72,,-23.72,,6.34,6.27,6.32,6.29,6.31,6.3,,-0.13,,-0.14,,,,,,,,,,,,6.39,6.1,6.39,6.1,6.38,6.09,6.38,6.1,6.39,6.1,6.38,6.11
4,-20.71,-20.66,-20.7,-20.69,-20.7,-20.69,9.38,9.3,9.36,9.31,9.36,9.32,3,2.89,2.91,2.87,2.89,,,,,,,,,,,9.43,9.13,9.42,9.14,9.41,9.13,9.42,9.14,9.41,9.13,9.41,9.13
5,-17.79,-17.63,-17.77,-17.67,-17.78,-17.69,12.36,12.25,12.35,12.25,12.35,12.25,5.98,5.82,5.92,5.81,5.89,-17.95,,-17.94,,-17.93,-17.67,-17.93,-17.67,-17.92,-17.67,12.38,12.07,12.33,12.09,12.35,12.05,12.36,12.04,12.36,12.05,12.36,12.07
6,-14.96,-14.8,-14.96,-14.83,-14.96,-14.84,15.21,15.06,15.2,15.06,15.19,15.07,8.82,8.64,8.77,8.64,8.75,-15.17,-14.85,-15.17,-14.85,-15.1,-14.81,-15.11,-14.8,-15.09,-14.79,15.22,14.91,15.21,14.92,15.21,14.91,15.23,14.89,15.21,14.91,15.22,14.92
7,-12.2,-11.97,-12.19,-12.01,-12.2,-12.02,18.01,,18.02,,17.99,,11.63,11.42,11.6,11.43,11.58,-12.38,-11.99,-12.35,-11.98,-12.3,-11.95,-12.31,-11.96,-12.3,-11.95,18.03,,18.06,,18.06,,18.07,17.7,18.07,,18.07,
8,-9.42,-9.2,-9.4,-9.2,-9.42,-9.22,,,,,,,14.41,14.22,14.39,14.23,14.38,-9.57,-9.16,-9.55,-9.15,-9.53,-9.14,-9.51,-9.12,-9.5,-9.12,,,,,,,20.89,,,,,
9,-6.68,-6.4,-6.67,-6.41,-6.67,-6.43,,,,,,,17.2,16.96,17.19,16.96,17.18,-6.78,-6.35,-6.76,-6.33,-6.74,-6.32,-6.73,-6.31,-6.72,-6.31,,,,,,,,,,,,
10,-3.9,-3.67,-3.9,-3.68,-3.89,-3.73,,,,,,,19.89,,19.89,,19.9,-3.89,-3.52,-3.9,-3.51,-3.88,-3.49,-3.86,-3.46,-3.84,-3.47,,,,,,,,,,,,
11 (least pull),,0.07,,0.01,,0.03,,,,,,,,,,,,,0.27,,0.21,,0.28,,0.25,,0.31,,,,,,,,,,,,
