Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:52,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58,5/21/2024 17:58
10 (least pull),,24.52,,24.52,,24.51,,24.51,,24.51,,24.51,,,,,,,,,,,,,,,,
9,20.83,20.9,20.8,20.89,20.83,20.89,20.83,20.9,20.82,20.89,20.83,20.89,,,,,,,,,,,,,,,,
8,17.69,17.76,17.69,17.76,17.77,17.76,17.7,17.76,17.7,17.77,17.7,17.76,,21.1,,21.1,,21.1,,21.12,,21.1,,21.11,,21.11,,21.11
7,14.72,14.76,14.71,14.77,14.72,14.77,14.71,14.77,14.71,14.77,14.7,14.77,18,18.07,18.01,18.09,18,18.09,18,18.09,18.02,18.09,18.02,18.09,18.03,18.09,18.01,18.08
6,11.73,11.78,11.72,11.77,11.72,11.77,11.72,11.77,11.72,11.77,11.71,11.79,15.02,15.09,15.02,15.1,15,15.1,15,15.1,15.02,15.11,15.01,15.1,15.01,15.1,15.02,15.1
5,8.76,8.82,8.77,8.82,8.77,8.83,8.77,8.83,8.77,8.83,8.75,8.83,12.04,12.1,12.04,12.12,12.04,12.12,12.05,12.11,12.04,12.12,12.04,12.12,12.03,12.13,12.05,12.14
4,5.79,5.85,5.78,5.86,5.79,5.86,5.8,5.86,5.81,5.86,5.8,5.85,9.06,9.13,9.05,9.13,9.06,9.13,9.06,9.13,9.05,9.12,9.06,9.13,9.06,9.14,9.06,9.13
3,2.87,2.92,2.88,2.93,2.87,2.93,2.88,2.93,2.87,2.92,2.87,2.93,6.13,6.2,6.15,6.2,6.15,6.21,6.15,6.2,6.15,6.2,6.16,6.21,6.15,6.21,6.16,6.18
2,-0.12,,-0.12,,-0.11,,-0.11,,-0.11,,-0.11,,3.17,3.22,3.16,3.22,3.17,3.23,3.17,3.23,3.17,3.23,3.18,3.23,3.17,3.24,3.18,3.23
1 (most pull),,,,,,,,,,,,,-0.01,,-0.01,,-0.01,,0,,0,,0,,0,,0,
