Set,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,6/25/2024 8:17,,,,,,,,,,,
11 (least pull),25.67,25.68,,25.67,,25.67,,25.65,,25.67,,25.66
10,22.66,22.76,22.68,22.7,22.63,22.75,22.66,22.71,22.66,22.73,22.67,22.75
9,20.23,20.32,20.22,20.27,20.2,20.31,20.24,20.28,20.2,20.29,20.22,20.3
8,17.76,17.83,17.75,17.79,17.74,17.83,17.77,17.8,17.73,17.81,17.75,17.82
7,15.26,15.32,15.24,15.29,15.23,15.32,15.25,15.3,15.22,15.31,15.25,15.31
6,12.74,12.8,12.72,12.78,12.73,12.81,12.74,12.79,12.72,12.79,12.74,12.79
5,10.28,10.32,10.24,10.28,10.26,10.32,10.26,10.28,10.24,10.29,10.27,10.31
4,7.74,7.77,7.72,7.75,7.74,7.79,7.73,7.76,7.71,7.77,7.74,7.77
3,5.16,5.19,5.14,5.16,5.17,5.2,5.14,5.17,5.14,5.18,5.16,5.18
2,2.59,2.62,2.57,2.59,2.6,2.63,2.58,2.6,2.58,2.61,2.59,2.61
1 (most pull),-0.01,,-0.03,,0,,-0.02,,-0.01,,-0.01,
