Set,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:14,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21,5/24/2024 17:21
12 (least pull),,26.59,,26.59,,26.58,,26.58,,26.58,,26.58,,26.58,,,,,,,,,,,,
11,22.15,22.21,22.14,22.22,22.13,22.21,22.13,22.2,22.13,22.21,22.13,22.21,22.13,22.2,,,,,,,,,,,,
10,19.08,19.12,19.07,19.13,19.07,19.11,19.05,19.12,19.06,19.11,19.07,19.12,19.07,19.11,,,,,,,,,,,,
9,15.96,16.02,15.96,16.02,15.95,16.01,15.95,16,15.95,16.01,15.96,16.01,15.95,16.01,,,,,,,,,,,,
8,12.75,12.83,12.76,12.81,12.75,12.81,12.75,12.82,12.75,12.82,12.76,12.81,12.77,12.82,,23.3,,23.31,,23.29,,23.3,,23.31,,23.31
7,9.61,9.68,9.61,9.68,9.61,9.68,9.61,9.68,9.61,9.68,9.61,9.68,9.61,9.69,20.07,20.14,20.07,20.16,20.08,20.15,20.08,20.15,20.08,20.16,20.09,20.16
6,6.5,6.56,6.5,6.55,6.49,6.56,6.5,6.56,6.5,6.56,6.5,6.56,6.5,6.55,16.92,17,16.94,17.01,16.94,17,16.95,17.01,16.95,17.01,16.95,17.02
5,3.37,3.44,3.37,3.45,3.37,3.44,3.37,3.44,3.37,3.44,3.37,3.45,3.37,3.44,13.8,13.87,13.8,13.88,13.8,13.88,13.8,13.88,13.8,13.88,13.82,13.88
4,0.24,,0.24,,0.24,,0.25,,0.25,,0.25,,0.25,,10.65,10.74,10.66,10.74,10.67,10.75,10.66,10.75,10.67,10.74,10.68,10.74
3,,,,,,,,,,,,,,,7.37,7.43,7.38,7.45,7.37,7.44,7.38,7.44,7.38,7.44,7.4,7.45
2,,,,,,,,,,,,,,,3.88,3.94,3.89,3.94,3.88,3.95,3.89,3.95,3.89,3.95,3.9,3.95
1 (most pull),,,,,,,,,,,,,,,0,,0.01,,0.01,,0.01,,0.01,,0.02,
